;Visitors IN;Visitors OUT;Men IN;Men OUT;Women IN;Women OUT;Group IN;Group OUT;Passersby;Visitors INA;Visitors AOUT;Visitors Live;DwellTime
11/08/2024 10:00;75;59;19;12;37;26;68;54;2651;134;129;64;0:16
11/08/2024 11:00;75;93;15;25;26;35;70;84;2917;209;222;80;0:16
11/08/2024 12:00;67;80;16;17;18;26;64;78;4948;276;302;54;0:16
11/08/2024 13:00;144;146;26;29;42;51;131;126;7997;420;448;118;0:16
11/08/2024 14:00;154;183;33;33;63;80;131;158;7441;574;631;126;0:16
11/08/2024 15:00;91;108;15;19;41;54;79;97;7177;665;739;34;0:16
11/08/2024 16:00;62;84;4;9;32;43;56;77;8062;727;823;0;0:16
11/08/2024 17:00;83;98;16;19;34;48;73;91;9674;810;921;0;0:16
11/08/2024 18:00;76;96;9;13;32;44;67;79;9129;886;1017;0;0:16
11/08/2024 19:00;58;91;6;12;23;46;48;78;8221;944;1108;0;0:16
11/08/2024 20:00;22;34;2;4;8;15;22;27;5023;966;1142;0;0:16
11/08/2024 21:00;1;3;1;0;0;1;1;3;3219;967;1145;0;0:16
11/08/2024 22:00;0;0;0;0;0;0;0;0;2091;967;1145;0;0:16
11/08/2024 23:00;0;0;0;0;0;0;0;0;1643;967;1145;0;0:16
11/09/2024 0:00;0;0;0;0;0;0;0;0;1095;0;0;0;0:25
11/09/2024 1:00;0;0;0;0;0;0;0;0;461;0;0;0;0:25
11/09/2024 2:00;0;0;0;0;0;0;0;0;200;0;0;0;0:25
11/09/2024 3:00;0;0;0;0;0;0;0;0;160;0;0;0;0:25
11/09/2024 4:00;0;0;0;0;0;0;0;0;141;0;0;0;0:25
11/09/2024 5:00;0;0;0;0;0;0;0;0;71;0;0;0;0:25
11/09/2024 6:00;0;0;0;0;0;0;0;0;177;0;0;0;0:25
11/09/2024 7:00;0;0;0;0;0;0;0;0;184;0;0;0;0:25
11/09/2024 8:00;0;0;0;0;0;0;0;0;650;0;0;0;0:25
11/09/2024 9:00;20;12;6;3;9;4;18;11;863;20;12;20;0:25
11/09/2024 10:00;73;64;17;12;29;28;65;63;2310;93;76;81;0:25
11/09/2024 11:00;69;76;9;8;31;34;61;65;3790;162;152;86;0:25
11/09/2024 12:00;77;87;21;23;25;37;72;76;6730;239;239;87;0:25
11/09/2024 13:00;125;116;18;17;47;54;105;99;8862;364;355;125;0:25
11/09/2024 14:00;153;154;21;21;76;77;135;130;10924;517;509;162;0:25
11/09/2024 15:00;162;186;23;30;88;106;128;151;13170;679;695;170;0:25
11/09/2024 16:00;135;153;16;14;77;91;111;135;15456;814;848;119;0:25
11/09/2024 17:00;132;152;12;14;69;92;103;124;15958;946;1000;98;0:25
11/09/2024 18:00;97;137;11;20;46;68;82;115;13816;1043;1137;43;0:25
11/09/2024 19:00;72;109;8;10;31;52;59;80;11191;1115;1246;0;0:25
11/09/2024 20:00;31;47;3;7;14;21;26;41;7039;1146;1293;0;0:25
11/09/2024 21:00;1;7;0;2;0;4;1;7;3727;1147;1300;0;0:25
11/09/2024 22:00;3;3;0;1;0;0;3;3;2219;1150;1303;0;0:25
11/09/2024 23:00;0;0;0;0;0;0;0;0;1653;1150;1303;0;0:25
11/10/2024 0:00;0;0;0;0;0;0;0;0;1407;0;0;0;0:34
11/10/2024 1:00;0;0;0;0;0;0;0;0;510;0;0;0;0:34
11/10/2024 2:00;0;0;0;0;0;0;0;0;474;0;0;0;0:34
11/10/2024 3:00;0;0;0;0;0;0;0;0;273;0;0;0;0:34
11/10/2024 4:00;0;0;0;0;0;0;0;0;122;0;0;0;0:34
11/10/2024 5:00;0;0;0;0;0;0;0;0;67;0;0;0;0:34
11/10/2024 6:00;0;0;0;0;0;0;0;0;90;0;0;0;0:34
11/10/2024 7:00;0;0;0;0;0;0;0;0;123;0;0;0;0:34
11/10/2024 8:00;0;0;0;0;0;0;0;0;222;0;0;0;0:34
11/10/2024 9:00;0;0;0;0;0;0;0;0;360;0;0;0;0:34
11/10/2024 10:00;13;6;4;2;1;0;12;6;760;13;6;13;0:34
11/10/2024 11:00;26;26;10;7;7;9;23;22;1383;39;32;33;0:34
11/10/2024 12:00;40;41;4;3;17;17;38;35;1736;79;73;47;0:34
11/10/2024 13:00;40;33;7;4;20;21;31;26;2037;119;106;46;0:34
11/10/2024 14:00;47;53;6;9;17;22;37;44;2495;166;159;60;0:34
11/10/2024 15:00;51;57;9;8;20;25;41;47;2450;217;216;58;0:34
11/10/2024 16:00;50;51;11;14;17;19;41;43;2971;267;267;51;0:34
11/10/2024 17:00;13;36;3;7;2;15;13;29;2815;280;303;13;0:34
11/10/2024 18:00;0;0;0;0;0;0;0;0;1576;280;303;0;0:34
11/10/2024 19:00;0;0;0;0;0;0;0;0;1491;280;303;0;0:34
11/10/2024 20:00;0;0;0;0;0;0;0;0;1717;280;303;0;0:34
11/10/2024 21:00;0;0;0;0;0;0;0;0;1461;280;303;0;0:34
11/10/2024 22:00;0;0;0;0;0;0;0;0;957;280;303;0;0:34
11/10/2024 23:00;0;0;0;0;0;0;0;0;741;280;303;0;0:34
11/11/2024 0:00;0;0;0;0;0;0;0;0;672;0;0;0;0:32
11/11/2024 1:00;0;0;0;0;0;0;0;0;256;0;0;0;0:32
11/11/2024 2:00;0;0;0;0;0;0;0;0;101;0;0;0;0:32
11/11/2024 3:00;0;0;0;0;0;0;0;0;93;0;0;0;0:32
11/11/2024 4:00;0;0;0;0;0;0;0;0;40;0;0;0;0:32
11/11/2024 5:00;0;0;0;0;0;0;0;0;48;0;0;0;0:32
11/11/2024 6:00;0;0;0;0;0;0;0;0;95;0;0;0;0:32
11/11/2024 7:00;0;0;0;0;0;0;0;0;160;0;0;0;0:32
11/11/2024 8:00;0;0;0;0;0;0;0;0;314;0;0;0;0:32
11/11/2024 9:00;0;0;0;0;0;0;0;0;413;0;0;0;0:32
11/11/2024 10:00;31;19;5;3;8;6;28;18;821;31;19;31;0:32
11/11/2024 11:00;44;55;11;12;17;20;37;46;1830;75;74;56;0:32
11/11/2024 12:00;37;34;7;7;12;13;34;30;2212;112;108;38;0:32
11/11/2024 13:00;92;83;18;17;38;41;80;75;3096;204;191;96;0:32
11/11/2024 14:00;83;101;17;22;28;45;71;83;3669;287;292;96;0:32
11/11/2024 15:00;56;57;9;10;27;30;48;50;2902;343;349;51;0:32
11/11/2024 16:00;90;69;19;13;44;33;69;55;3763;433;418;84;0:32
11/11/2024 17:00;39;79;7;10;10;36;34;60;3441;472;497;54;0:32
11/11/2024 18:00;0;0;0;0;0;0;0;0;2749;472;497;0;0:32
11/11/2024 19:00;0;0;0;0;0;0;0;0;2570;472;497;0;0:32
11/11/2024 20:00;0;0;0;0;0;0;0;0;2213;472;497;0;0:32
11/11/2024 21:00;0;0;0;0;0;0;0;0;1422;472;497;0;0:32
11/11/2024 22:00;0;0;0;0;0;0;0;0;805;472;497;0;0:32
11/11/2024 23:00;0;0;0;0;0;0;0;0;747;472;497;0;0:32
11/12/2024 0:00;0;0;0;0;0;0;0;0;327;0;0;0;0:27
11/12/2024 1:00;0;0;0;0;0;0;0;0;31;0;0;0;0:27
11/12/2024 2:00;0;0;0;0;0;0;0;0;16;0;0;0;0:27
11/12/2024 3:00;0;0;0;0;0;0;0;0;21;0;0;0;0:27
11/12/2024 4:00;0;0;0;0;0;0;0;0;29;0;0;0;0:27
11/12/2024 5:00;0;0;0;0;0;0;0;0;11;0;0;0;0:27
11/12/2024 6:00;0;0;0;0;0;0;0;0;109;0;0;0;0:27
11/12/2024 7:00;0;0;0;0;0;0;0;0;280;0;0;0;0:27
11/12/2024 8:00;17;12;7;2;4;4;14;11;1075;17;12;17;0:27
11/12/2024 9:00;50;45;11;8;19;18;50;40;2571;67;57;55;0:27
11/12/2024 10:00;66;61;15;14;27;24;61;57;2904;133;118;76;0:27
11/12/2024 11:00;63;61;11;7;28;22;59;57;2713;196;179;78;0:27
11/12/2024 12:00;86;95;13;12;31;36;81;82;3980;282;274;103;0:27
11/12/2024 13:00;170;157;27;23;75;81;152;130;6903;452;431;178;0:27
11/12/2024 14:00;154;192;20;19;65;113;138;170;7004;606;623;175;0:27
11/12/2024 15:00;83;88;14;14;37;52;75;80;6788;689;711;66;0:27
11/12/2024 16:00;79;77;9;9;34;40;72;71;6903;768;788;57;0:27
11/12/2024 17:00;59;80;8;10;21;36;53;73;7274;827;868;39;0:27
11/12/2024 18:00;45;81;3;10;16;33;41;73;6214;872;949;4;0:27
11/12/2024 19:00;30;44;4;8;14;24;30;40;6354;902;993;0;0:27
11/12/2024 20:00;9;38;0;7;4;18;10;31;3654;911;1031;0;0:27
11/12/2024 21:00;1;3;0;1;0;0;1;3;1478;912;1034;0;0:27
11/12/2024 22:00;1;1;0;0;1;1;1;1;1173;913;1035;0;0:27
11/12/2024 23:00;0;0;0;0;0;0;0;0;859;913;1035;0;0:27
11/13/2024 0:00;0;0;0;0;0;0;0;0;526;0;0;0;0:27
11/13/2024 1:00;0;0;0;0;0;0;0;0;121;0;0;0;0:27
11/13/2024 2:00;0;0;0;0;0;0;0;0;125;0;0;0;0:27
11/13/2024 3:00;0;0;0;0;0;0;0;0;54;0;0;0;0:27
11/13/2024 4:00;0;0;0;0;0;0;0;0;17;0;0;0;0:27
11/13/2024 5:00;0;0;0;0;0;0;0;0;20;0;0;0;0:27
11/13/2024 6:00;0;0;0;0;0;0;0;0;142;0;0;0;0:27
11/13/2024 7:00;0;0;0;0;0;0;0;0;287;0;0;0;0:27
11/13/2024 8:00;9;7;2;1;5;3;9;6;928;9;7;9;0:27
11/13/2024 9:00;63;50;16;14;23;16;60;46;2085;72;57;65;0:27
11/13/2024 10:00;75;73;24;19;29;28;72;69;2699;147;130;90;0:27
11/13/2024 11:00;65;70;13;12;31;37;54;62;3304;212;200;82;0:27
11/13/2024 12:00;75;88;16;17;28;42;67;74;3617;287;288;87;0:27
11/13/2024 13:00;166;136;42;25;65;66;141;119;6968;453;424;165;0:27
11/13/2024 14:00;157;175;33;35;69;98;142;158;7330;610;599;186;0:27
11/13/2024 15:00;89;108;17;17;40;59;83;98;5814;699;707;100;0:27
11/13/2024 16:00;81;97;10;15;33;48;69;82;6566;780;804;73;0:27
11/13/2024 17:00;65;90;11;19;30;40;58;82;7077;845;894;41;0:27
11/13/2024 18:00;52;58;7;8;21;25;44;54;7520;897;952;3;0:27
11/13/2024 19:00;46;83;8;13;22;39;46;75;7558;943;1035;0;0:27
11/13/2024 20:00;23;39;4;3;6;12;22;34;3941;966;1074;0;0:27
11/13/2024 21:00;1;3;0;0;0;0;1;3;2068;967;1077;0;0:27
11/13/2024 22:00;0;0;0;0;0;0;0;0;1386;967;1077;0;0:27
11/13/2024 23:00;0;0;0;0;0;0;0;0;914;967;1077;0;0:27
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
